"state","candidate_name","pollster_rating_name","predicted_pct"
"North Carolina","Kamala Harris","Cygnal",46.9787678130851
"North Carolina","Donald Trump","Cygnal",44.3308318042156
"North Carolina","Chase Oliver","Cygnal",1.25912547276286
"North Carolina","Randall A. Terry","Cygnal",4.37356420616394
"North Carolina","Jill Stein","Cygnal",1.23548797220182
"North Carolina","Cornel West","Cygnal",1.20486405441825
"Georgia","Kamala Harris","Quinnipiac University",47.3984225725569
"Georgia","Donald Trump","Quinnipiac University",45.0090049504847
"Georgia","Jill Stein","Quinnipiac University",1.76247441814266
"Georgia","Chase Oliver","Quinnipiac University",1.73367774000562
"Georgia","Kamala Harris","Quinnipiac University",47.4069420482168
"Georgia","Donald Trump","Quinnipiac University",44.7939358990255
"North Carolina","Kamala Harris","Quinnipiac University",47.2832064548739
"North Carolina","Donald Trump","Quinnipiac University",44.7546677492486
"North Carolina","Jill Stein","Quinnipiac University",1.40261544133336
"North Carolina","Chase Oliver","Quinnipiac University",1.81269795391538
"North Carolina","Cornel West","Quinnipiac University",1.38379369914522
"North Carolina","Randall A. Terry","Quinnipiac University",4.69076222285612
"North Carolina","Kamala Harris","Quinnipiac University",47.2850630912019
"North Carolina","Donald Trump","Quinnipiac University",44.8359135050212
"Washington","Kamala Harris","SurveyUSA",46.2539004475084
"Washington","Donald Trump","SurveyUSA",43.7419797015657
"Maryland","Kamala Harris","ActiVote",50.7840173204424
"Maryland","Donald Trump","ActiVote",48.3806170512319
"Michigan","Kamala Harris","SoCal Research",48.6273798656522
"Michigan","Donald Trump","SoCal Research",46.1817088455322
"Arizona","Kamala Harris","Trafalgar Group",46.6645217080528
"Arizona","Donald Trump","Trafalgar Group",44.0542600771092
"North Carolina","Kamala Harris","Trafalgar Group",46.4987818299551
"North Carolina","Donald Trump","Trafalgar Group",43.9815832399099
"Nevada","Kamala Harris","Trafalgar Group",46.4810979255917
"Nevada","Donald Trump","Trafalgar Group",44.1989870045448
"Washington","Kamala Harris","ActiVote",50.9930155942587
"Washington","Donald Trump","ActiVote",48.3085099831948
"Washington","Kamala Harris","Elway Research",43.4698222076789
"Washington","Donald Trump","Elway Research",41.0100309701423
"Michigan","Kamala Harris","Marketing Resource Group (MRG)",44.5770600687171
"Michigan","Donald Trump","Marketing Resource Group (MRG)",41.9037307759065
"Michigan","Robert F. Kennedy","Marketing Resource Group (MRG)",8.08146025638216
"Michigan","Jill Stein","Marketing Resource Group (MRG)",-1.18455542976728
"Michigan","Cornel West","Marketing Resource Group (MRG)",-1.37362269095158
"Michigan","Joseph Kishore","Marketing Resource Group (MRG)",10.6508347004184
"Michigan","Randall A. Terry","Marketing Resource Group (MRG)",1.87896440794035
"Michigan","Chase Oliver","Marketing Resource Group (MRG)",-1.04288311890228
"Pennsylvania","Kamala Harris","The New York Times/Siena College",46.85881813555
"Pennsylvania","Donald Trump","The New York Times/Siena College",44.4208921029784
"Pennsylvania","Kamala Harris","The New York Times/Siena College",46.8874217365686
"Pennsylvania","Donald Trump","The New York Times/Siena College",44.45383453026
"Pennsylvania","Jill Stein","The New York Times/Siena College",1.26478165984277
"Pennsylvania","Chase Oliver","The New York Times/Siena College",1.15061893043888
"Pennsylvania","Kamala Harris","The New York Times/Siena College",46.8776992913833
"Pennsylvania","Donald Trump","The New York Times/Siena College",44.3669131326378
"Pennsylvania","Kamala Harris","The New York Times/Siena College",46.8997591308157
"Pennsylvania","Donald Trump","The New York Times/Siena College",44.3534876671735
"Pennsylvania","Jill Stein","The New York Times/Siena College",1.15986364042951
"Pennsylvania","Chase Oliver","The New York Times/Siena College",1.22005421463664
"Arizona","Kamala Harris","The New York Times/Siena College",46.860467989717
"Arizona","Donald Trump","The New York Times/Siena College",44.3060057230833
"Arizona","Kamala Harris","The New York Times/Siena College",46.698494690182
"Arizona","Donald Trump","The New York Times/Siena College",44.2791337286017
"Arizona","Jill Stein","The New York Times/Siena College",1.18995796628232
"Arizona","Chase Oliver","The New York Times/Siena College",1.21141513721544
