candidate,weight_value,support_pct,date
Harris,7.113142108707088,49,10/16/24
Trump,7.113142108707088,46,10/16/24
Harris,6.668228248417403,49,10/16/24
Trump,6.668228248417403,50,10/16/24
Harris,6.670766320845874,49,10/16/24
Trump,6.670766320845874,49,10/16/24
Harris,5.991464547107982,44.2,10/16/24
Trump,5.991464547107982,55.8,10/16/24
Harris,5.991464547107982,37.6,10/16/24
Trump,5.991464547107982,62.4,10/16/24
Harris,5.991464547107982,66.6,10/16/24
Trump,5.991464547107982,33.4,10/16/24
Harris,6.684611727667927,47,10/15/24
Trump,6.684611727667927,49,10/15/24
Harris,7.129297548929373,50,10/15/24
Trump,7.129297548929373,46,10/15/24
Harris,7.284134806195205,48,10/15/24
Trump,7.284134806195205,45,10/15/24
Harris,7.1808311990445555,49,10/15/24
Trump,7.1808311990445555,45,10/15/24
Harris,6.481577129276431,49,10/15/24
Trump,6.481577129276431,48,10/15/24
Harris,6.90975328164481,48,10/15/24
Trump,6.90975328164481,49,10/15/24
Harris,6.194405391104672,64,10/15/24
Trump,6.194405391104672,31,10/15/24
Harris,6.970730078143525,49,10/15/24
Trump,6.970730078143525,47,10/15/24
Harris,6.206575926724928,49,10/15/24
Trump,6.206575926724928,45,10/15/24
Harris,6.977281341630747,48,10/15/24
Trump,6.977281341630747,49,10/15/24
Harris,7.1252830915107115,45,10/15/24
Trump,7.1252830915107115,52,10/15/24
Harris,7.240649694255466,49,10/15/24
Trump,7.240649694255466,48,10/15/24
Harris,7.6246189861593985,46,10/15/24
Trump,7.6246189861593985,50,10/15/24
Harris,6.267200548541362,47,10/15/24
Trump,6.267200548541362,48,10/15/24
Harris,6.3784261836515865,47,10/14/24
Trump,6.3784261836515865,47,10/14/24
Harris,6.3784261836515865,47.4,10/14/24
Trump,6.3784261836515865,48.5,10/14/24
Harris,7.088408778675395,49,10/14/24
Trump,7.088408778675395,46,10/14/24
Harris,6.688354713946762,49,10/14/24
Trump,6.688354713946762,50,10/14/24
Harris,6.907755278982137,61,10/14/24
Trump,6.907755278982137,36.6,10/14/24
Harris,6.429719478039138,46,10/14/24
Trump,6.429719478039138,48,10/14/24
Harris,7.039660349862076,46,10/14/24
Trump,7.039660349862076,48,10/14/24
Harris,6.9167150203536085,44,10/14/24
Trump,6.9167150203536085,50,10/14/24
Harris,6.456769655572163,47,10/14/24
