"Parameter","Estimate.Estimate","Estimate.Std..Error","Estimate.2.5..CI","Estimate.97.5..CI","Std..Error.Estimate","Std..Error.Std..Error","Std..Error.2.5..CI","Std..Error.97.5..CI","X95..CI.Lower.Estimate","X95..CI.Lower.Std..Error","X95..CI.Lower.2.5..CI","X95..CI.Lower.97.5..CI","X95..CI.Upper.Estimate","X95..CI.Upper.Std..Error","X95..CI.Upper.2.5..CI","X95..CI.Upper.97.5..CI"
"Estimate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Std. Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2.5% CI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97.5% CI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
